Bearing:  353.565260849
-25 55 -23.0 50.6
-24 54 -22.08 49.68
-24 54 -22.08 49.68
-25 54 -23.0 49.68
-25 55 -23.0 50.6
-26 54 -23.92 49.68
-25 54 -23.0 49.68
-25 54 -23.0 49.68
-24 54 -22.08 49.68
-25 55 -23.0 50.6
-24 55 -22.08 50.6
-24 55 -22.08 50.6
-25 54 -23.0 49.68
-25 54 -23.0 49.68
-25 54 -23.0 49.68
-25 54 -23.0 49.68
-27 54 -24.84 49.68
-23 55 -21.16 50.6
-24 54 -22.08 49.68
-23 54 -21.16 49.68
-24 56 -22.08 51.52
-24 55 -22.08 50.6
-25 54 -23.0 49.68
-25 54 -23.0 49.68
-25 55 -23.0 50.6
-24 54 -22.08 49.68
-25 54 -23.0 49.68
-24 55 -22.08 50.6
-25 55 -23.0 50.6
-24 55 -22.08 50.6
-25 55 -23.0 50.6
-24 55 -22.08 50.6
-25 55 -23.0 50.6
-25 54 -23.0 49.68
-26 55 -23.92 50.6
-25 55 -23.0 50.6
-25 54 -23.0 49.68
-25 55 -23.0 50.6
-24 54 -22.08 49.68
-24 55 -22.08 50.6
-25 54 -23.0 49.68
-25 53 -23.0 48.76
-25 55 -23.0 50.6
-24 54 -22.08 49.68
-26 54 -23.92 49.68
-25 53 -23.0 48.76
-25 54 -23.0 49.68
-24 54 -22.08 49.68
-24 54 -22.08 49.68
-24 55 -22.08 50.6
-24 55 -22.08 50.6
-25 54 -23.0 49.68
-24 54 -22.08 49.68
-24 54 -22.08 49.68
-24 56 -22.08 51.52
-25 54 -23.0 49.68
-25 54 -23.0 49.68
-25 54 -23.0 49.68
-24 54 -22.08 49.68
-24 55 -22.08 50.6
-25 55 -23.0 50.6
-25 53 -23.0 48.76
-24 55 -22.08 50.6
